                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.93439,                  1.292,                0.63811,                 1.0648,                0.77468,                0.77281,                0.79879,                0.61947,                0.74759,                0.74115,                0.74897,                0.47249,                0.96526,                 1.3014,                0.64646,                 1.0997,               0.007723,               0.007723,               0.007723
                     71,                0.92847,                 1.2899,                0.63676,                 1.0671,                0.77489,                0.77218,                0.79858,                0.61941,                0.74756,                0.74113,                0.74875,                0.47278,                0.96553,                 1.3012,                0.64614,                 1.0999,                0.00769,                0.00769,                0.00769
                     72,                0.92656,                 1.2873,                0.63407,                 1.0674,                0.77561,                0.77147,                0.79869,                0.61992,                0.74825,                0.74072,                0.74879,                0.47333,                 0.9656,                 1.3014,                0.64603,                    1.1,               0.007657,               0.007657,               0.007657
                     73,                0.92813,                 1.2842,                0.63667,                  1.066,                0.77746,                0.77329,                 0.7991,                0.61999,                0.75052,                0.74116,                0.74905,                0.47357,                 0.9656,                 1.3014,                0.64586,                    1.1,               0.007624,               0.007624,               0.007624
                     74,                0.92623,                 1.2826,                 0.6326,                 1.0654,                0.77941,                0.77096,                0.79895,                0.61964,                 0.7507,                   0.74,                 0.7491,                 0.4735,                0.96566,                 1.3013,                0.64574,                 1.1001,               0.007591,               0.007591,               0.007591
                     75,                0.92862,                 1.2905,                0.63255,                 1.0662,                0.77871,                0.77232,                0.79909,                0.61979,                0.75353,                0.73958,                0.74907,                0.47313,                0.96569,                 1.3014,                0.64564,                 1.1003,               0.007558,               0.007558,               0.007558
                     76,                0.92584,                 1.2901,                0.63243,                 1.0671,                0.78026,                 0.7702,                 0.7993,                 0.6198,                 0.7543,                0.73827,                0.74959,                0.47307,                0.96568,                 1.3012,                0.64532,                 1.1003,               0.007525,               0.007525,               0.007525
                     77,                0.92655,                 1.2891,                0.63009,                 1.0637,                0.78048,                0.77119,                0.79909,                0.62016,                0.75512,                0.73741,                0.74947,                0.47269,                0.96579,                 1.3013,                0.64526,                 1.1004,               0.007492,               0.007492,               0.007492
                     78,                0.92333,                 1.2861,                0.63077,                 1.0634,                 0.7822,                0.76907,                0.79918,                0.62008,                0.75771,                0.73559,                 0.7495,                0.47278,                0.96593,                 1.3013,                0.64527,                 1.1006,               0.007459,               0.007459,               0.007459
                     79,                0.92492,                 1.2845,                0.63102,                 1.0651,                0.78249,                0.77187,                0.79923,                0.62043,                0.75712,                 0.7361,                 0.7496,                0.47253,                0.96608,                 1.3013,                0.64511,                 1.1006,               0.007426,               0.007426,               0.007426
                     80,                0.92447,                 1.2876,                0.62438,                 1.0618,                0.77742,                0.77531,                0.79908,                0.61972,                0.75745,                0.73531,                0.74957,                0.47256,                0.96625,                 1.3013,                 0.6448,                 1.1007,               0.007393,               0.007393,               0.007393
                     81,                0.92523,                 1.2847,                0.62745,                 1.0651,                0.77777,                0.77602,                0.79899,                0.62062,                0.75537,                0.73539,                0.74788,                0.47184,                0.96643,                 1.3015,                0.64484,                 1.1009,                0.00736,                0.00736,                0.00736
                     82,                0.92496,                 1.2853,                0.62532,                 1.0615,                0.77996,                0.77229,                0.79878,                0.62055,                0.75414,                0.73713,                0.74876,                0.47166,                0.96646,                 1.3016,                0.64517,                  1.101,               0.007327,               0.007327,               0.007327
                     83,                0.91886,                 1.2826,                0.62245,                 1.0601,                 0.7802,                0.77385,                0.79912,                0.62037,                0.75281,                0.73708,                0.74804,                  0.472,                0.96658,                 1.3018,                0.64518,                 1.1011,               0.007294,               0.007294,               0.007294
                     84,                0.91872,                 1.2782,                0.62053,                 1.0592,                0.78051,                0.77418,                0.79895,                0.62012,                0.75063,                0.73875,                0.74797,                0.47154,                0.96672,                 1.3018,                 0.6452,                 1.1011,               0.007261,               0.007261,               0.007261
                     85,                0.92165,                 1.2763,                0.62154,                 1.0605,                0.77883,                 0.7744,                0.79872,                0.62022,                0.74841,                0.73971,                 0.7476,                0.47203,                0.96681,                 1.3015,                0.64529,                 1.1012,               0.007228,               0.007228,               0.007228
                     86,                0.92092,                 1.2752,                0.61938,                 1.0634,                0.77448,                0.77733,                0.79834,                0.62059,                0.74755,                0.73741,                0.74511,                0.47149,                0.96697,                 1.3015,                0.64528,                 1.1013,               0.007195,               0.007195,               0.007195
                     87,                0.91982,                 1.2729,                0.62086,                 1.0632,                0.77471,                0.77756,                0.79836,                0.62119,                 0.7473,                0.73671,                0.74511,                 0.4717,                0.96712,                 1.3012,                0.64514,                 1.1015,               0.007162,               0.007162,               0.007162
                     88,                0.92256,                 1.2769,                0.62112,                 1.0604,                0.77321,                0.77688,                0.79816,                0.62094,                0.74894,                0.73597,                0.74465,                0.47167,                 0.9672,                 1.3012,                0.64515,                 1.1016,               0.007129,               0.007129,               0.007129
                     89,                0.91626,                 1.2728,                0.61614,                 1.0579,                0.77439,                 0.7777,                0.79878,                0.62072,                0.75273,                0.73657,                0.74847,                 0.4722,                0.96746,                 1.3013,                0.64511,                  1.102,               0.007096,               0.007096,               0.007096
                     90,                0.91945,                 1.2721,                0.61694,                 1.0551,                0.77495,                0.77429,                0.79834,                0.62088,                0.75194,                0.73499,                0.74695,                0.47301,                0.96763,                 1.3012,                0.64499,                 1.1021,               0.007063,               0.007063,               0.007063
